Commit	Ref Type	Entity before	Entity after	RefDiff	Details
https://github.com/icse18-refactorings/byte-buddy/commit/372f4ae6cebcd664e3b43cade356d1df233f6467	Extract Method	net.bytebuddy.implementation.FieldAccessor.ForNamedField.PreparationHandler.FieldDefiner.prepare(InstrumentedType)	net.bytebuddy.implementation.FieldAccessor.ForNamedField.PreparationHandler.FieldDefiner.resolve(GenericTypeDescription,TypeDescription)	FP	<Blacklisted>
https://github.com/icse18-refactorings/commafeed/commit/18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7	Extract Method	com.commafeed.backend.favicon.DefaultFaviconFetcher.fetch(Feed)	com.commafeed.backend.favicon.DefaultFaviconFetcher.fetch(String)	FN	?
https://github.com/icse18-refactorings/fabric8/commit/8127b21a220ca677c4e59961d019e7753da7ea6e	Extract Method	io.fabric8.maven.JsonMojo.getLivenessProbe()	io.fabric8.maven.JsonMojo.getProbe(String)	TP	
https://github.com/icse18-refactorings/quasar/commit/c22d40fab8dfe4c5cad9ba582caf0855ff64b324	Extract Method	co.paralleluniverse.strands.channels.reactivestreams.ChannelPublisher.subscribe(Subscriber)	co.paralleluniverse.strands.channels.reactivestreams.ChannelPublisher.failedSubscribe(Subscriber,Throwable)	FN	?
https://github.com/icse18-refactorings/quasar/commit/c22d40fab8dfe4c5cad9ba582caf0855ff64b324	Extract Method	co.paralleluniverse.strands.channels.reactivestreams.ChannelSubscriber.onSubscribe(Subscription)	co.paralleluniverse.strands.channels.reactivestreams.ChannelSubscriber.failedSubscribe(Subscription)	FN	?
https://github.com/icse18-refactorings/moco/commit/55ffa2f3353c5dc77fe6b790e5e045b76a07a772	Pull Up Method	com.github.dreamhead.moco.internal.ActualHttpServer.onRequestAttached(RequestMatcher)	com.github.dreamhead.moco.internal.HttpConfiguration.onRequestAttached(RequestMatcher)	TP	
https://github.com/icse18-refactorings/moco/commit/55ffa2f3353c5dc77fe6b790e5e045b76a07a772	Pull Up Method	com.github.dreamhead.moco.internal.ActualHttpServer.redirectTo(String)	com.github.dreamhead.moco.internal.HttpConfiguration.redirectTo(String)	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Move Class	org.gradle.internal.component.model.ComponentArtifactIdentifier	org.gradle.api.artifacts.component.ComponentArtifactIdentifier	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Extract Interface	org.gradle.api.internal.artifacts.ivyservice.resolveengine.oldresult.ResolvedArtifactResults	org.gradle.api.internal.artifacts.ivyservice.resolveengine.result.ResolvedArtifactsContainer	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.assertHasArtifacts()	org.gradle.api.internal.artifacts.DefaultResolverResults.assertHasArtifacts()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.assertHasResult()	org.gradle.api.internal.artifacts.DefaultResolverResults.assertHasResult()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.eachResolvedProject(Action)	org.gradle.api.internal.artifacts.DefaultResolverResults.eachResolvedProject(Action)	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.failed(ResolveException)	org.gradle.api.internal.artifacts.DefaultResolverResults.failed(ResolveException)	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getArtifactsBuilder()	org.gradle.api.internal.artifacts.DefaultResolverResults.getArtifactsBuilder()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getGraphResults()	org.gradle.api.internal.artifacts.DefaultResolverResults.getGraphResults()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getResolutionResult()	org.gradle.api.internal.artifacts.DefaultResolverResults.getResolutionResult()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getResolvedConfiguration()	org.gradle.api.internal.artifacts.DefaultResolverResults.getResolvedConfiguration()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getResolvedLocalComponents()	org.gradle.api.internal.artifacts.DefaultResolverResults.getResolvedLocalComponents()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.getTransientConfigurationResultsBuilder()	org.gradle.api.internal.artifacts.DefaultResolverResults.getTransientConfigurationResultsBuilder()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.hasError()	org.gradle.api.internal.artifacts.DefaultResolverResults.hasError()	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.resolved(ResolutionResult,ResolvedLocalComponentsResult)	org.gradle.api.internal.artifacts.DefaultResolverResults.resolved(ResolutionResult,ResolvedLocalComponentsResult)	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.retainState(ResolvedGraphResults,ResolvedArtifactsBuilder,TransientConfigurationResultsBuilder)	org.gradle.api.internal.artifacts.DefaultResolverResults.retainState(ResolvedGraphResults,ResolvedArtifactsBuilder,TransientConfigurationResultsBuilder)	TP	
https://github.com/icse18-refactorings/gradle/commit/04bcfe98dbe7b05e508559930c21379ece845732	Push Down Method	org.gradle.api.internal.artifacts.ResolverResults.withResolvedConfiguration(ResolvedConfiguration)	org.gradle.api.internal.artifacts.DefaultResolverResults.withResolvedConfiguration(ResolvedConfiguration)	TP	
https://github.com/icse18-refactorings/MPS/commit/2bcd05a827ead109a56cb1f79a83dcd332f42888	Inline Method	jetbrains.mps.smodel.adapter.structure.MetaAdapterFactory.getLanguage(SLanguageId,String,int)	jetbrains.mps.smodel.adapter.structure.MetaAdapterFactory.getLanguage(SLanguageId,String)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createCellSignalTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createCellTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createDefaultMCCTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createEventLogTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createLocationTable(SQLiteDatabase)	TP	
https://github.com/icse18-refactorings/Android-IMSI-Catcher-Detector/commit/e235f884f2e0bc258da77b9c80492ad33386fa86	Extract Method	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.onCreate(SQLiteDatabase)	com.SecUpwN.AIMSICD.adapters.AIMSICDDbAdapter.DbHelper.createOpenCellIDTable(SQLiteDatabase)	TP	
