ijkplayer,310a684afb77cb11cb4fd314f08797f7c3a37173,CHANGE_SIGNATURE,"ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_remove(void, int):1018-1053","ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_remove(void, int64_t):1047-1086",ijkplayer modify point size to int64,0.5066160807531058
ijkplayer,310a684afb77cb11cb4fd314f08797f7c3a37173,CHANGE_SIGNATURE,"ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_get(void, int):978-1012","ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_get(void, int64_t):1003-1041",ijkplayer modify point size to int64,0.9286060710242241
ijkplayer,310a684afb77cb11cb4fd314f08797f7c3a37173,CHANGE_SIGNATURE,"ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_put(void, int, void):927-972","ijkmedia/ijkplayer/ijkavutil/ijkstl.h:ijk_map_put(void, int64_t, void):948-997",ijkplayer modify point size to int64,0.9675636391934864
ijkplayer,ce01bb6e6267efa814e090c8a6cf22240dc1d39b,RENAME_FILE,ijkmedia/ijkplayer/ijkavformat/async.c:async.c:0-21920,ijkmedia/ijkplayer/ijkavformat/ijkasync.c:ijkasync.c:0-21920,ijkavformat/async: rename to ijkasync.c,0.7000666131423298
ijkplayer,9abad5df01c853c7b456dec2e18b45fb0f9d09ff,RENAME_FUNCTION,"ijkmedia/ijkplayer/ff_ffplay.c:ffp_set_playback__async_statistic(FFPlayer, int64_t, int64_t, int64_t):113147-113262","ijkmedia/ijkplayer/ff_ffplay.c:ffp_set_playback_async_statistic(FFPlayer, int64_t, int64_t, int64_t):113147-113261",ff_ffplay: set property in app_func callback and remove ffp_set_playback_async_statistic(),0.6649083213729944
ijkplayer,ae1e1614382ec7f1a14134c5d0e864739ab94f4a,RENAME_FUNCTION,"ijkmedia/ijkplayer/ff_ffplay.c:app_func_on_io_traffic(AVApplicationContext, AVAppIOTraffic):114134-114653","ijkmedia/ijkplayer/ff_ffplay.c:app_func_event(AVApplicationContext, int, void, size_t):112846-113410","ff_ffplay: remove inject opaque, adapt to ff3.1--ijk0.6.0--20160811--001",0.6727470385084686
ijkplayer,5fc8be80d75af50ca9c630b46fd76d82ccffff6c,EXTRACT,"ijkmedia/ijkplayer/android/pipeline/ffpipenode_android_mediacodec_vdec.c:ffpipenode_create_video_decoder_from_android_mediacodec(FFPlayer, IJKFF_Pipeline, SDL_Vout):34662-45768","ijkmedia/ijkplayer/android/pipeline/ffpipenode_android_mediacodec_vdec.c:recreate_format_l(JNIEnv, IJKFF_Pipenode):5352-10140",android/MediaCodec: handle new extra data,0.24367504675521579
ijkplayer,6ac3fb2a6595748cabd69f17573fd97922384592,RENAME_FUNCTION,"ios/IJKMediaPlayer/IJKMediaPlayer/ijkmedia/ijkplayer/ios/pipeline/IJKVideoToolBox.h:init_videotoolbox(FFPlayer, AVCodecContext):1432-1486","ios/IJKMediaPlayer/IJKMediaPlayer/ijkmedia/ijkplayer/ios/pipeline/IJKVideoToolBox.h:videotoolbox_create(FFPlayer, AVCodecContext):1432-1488",ios/VideoToolbox: rename init_videotoolbox -> videotoolbox_create,0.8422530467978491
ijkplayer,534bf0b3d394e6baa389aac6c06f06566f53334f,CHANGE_SIGNATURE,ijkmedia/ijkplayer/ijkmeta.c:get_bit_rate(AVCodecContext):3680-4326,ijkmedia/ijkplayer/ijkmeta.c:get_bit_rate(AVCodecParameters):3680-4364,ijkmeta: convert to codecpar,0.27753006119573675
ijkplayer,07eb5061dfc9ade9541b98ccd2e138016fc39aa2,EXTRACT,ijkmedia/ijkplayer/ff_ffplay.c:read_thread(void):81815-102432,"ijkmedia/ijkplayer/ff_ffplay.c:stream_has_enough_packets(AVStream, int, PacketQueue, int):81387-81660",ff_ffplay: merge: 8594a8fbf9b0af99e5b5b149831a47478be4aff0,0.07966160126686939
ijkplayer,c5c4fb2b21cde12f0827ed675b21f6a10e0076c3,RENAME_FUNCTION,"ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_dequeue(SDL_AMediaCodec_FakeFifo, SDL_AMediaCodecBufferInfo, int64_t):2240-2356","ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_dequeueOutputBuffer(SDL_AMediaCodec_FakeFifo, SDL_AMediaCodecBufferInfo, int64_t):2251-2379",android/MediaCodec: rename SDL_AMediaCodec_FakeFifo_queue to SDL_AMediaCodec_FakeFifo_queueInputBuffer,0.7663442872517622
ijkplayer,c5c4fb2b21cde12f0827ed675b21f6a10e0076c3,RENAME_FUNCTION,"ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_queue(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2086-2218","ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.h:SDL_AMediaCodec_FakeFifo_queueInputBuffer(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2086-2229",android/MediaCodec: rename SDL_AMediaCodec_FakeFifo_queue to SDL_AMediaCodec_FakeFifo_queueInputBuffer,0.03418915458818239
ijkplayer,c5c4fb2b21cde12f0827ed675b21f6a10e0076c3,RENAME_FUNCTION,"ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.c:SDL_AMediaCodec_FakeFifo_dequeue(SDL_AMediaCodec_FakeFifo, SDL_AMediaCodecBufferInfo, int64_t):3096-4744","ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.c:SDL_AMediaCodec_FakeFifo_dequeueOutputBuffer(SDL_AMediaCodec_FakeFifo, SDL_AMediaCodecBufferInfo, int64_t):3107-4767",android/MediaCodec: rename SDL_AMediaCodec_FakeFifo_queue to SDL_AMediaCodec_FakeFifo_queueInputBuffer,0.8778291348172853
ijkplayer,c5c4fb2b21cde12f0827ed675b21f6a10e0076c3,RENAME_FUNCTION,"ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.c:SDL_AMediaCodec_FakeFifo_queue(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2013-3094","ijkmedia/ijksdl/android/ijksdl_codec_android_mediacodec_internal.c:SDL_AMediaCodec_FakeFifo_queueInputBuffer(SDL_AMediaCodec_FakeFifo, size_t, off_t, size_t, uint64_t, uint32_t):2013-3105",android/MediaCodec: rename SDL_AMediaCodec_FakeFifo_queue to SDL_AMediaCodec_FakeFifo_queueInputBuffer,0.3330126235814702
